input j; compress_in_place;hash_many;M11;M116;M21;M216;M41;M416;M81;M816;M161;M1616;ipCS;ipCE;ipPARENT;ipROOT;ipKH;ipDKC;ipDKM;
     45;          8;  18;          0;   0;   3;   1;   3;   0;   2;   1;   3;   5;       1; 1; 7; 0; 0; 0; 0;
     46;          8;  19;          0;   0;   4;   0;   3;   1;   2;   1;   3;   5;       1; 1; 7; 0; 0; 0; 0;
     47;         10;  20;          0;   0;   4;   1;   3;   1;   2;   1;   3;   5;       1; 1; 9; 0; 0; 0; 0;
     48;          4;  16;          0;   0;   2;   0;   2;   0;   2;   0;   4;   6;       1; 1; 3; 0; 0; 0; 0;
     49;          6;  17;          0;   0;   2;   1;   2;   0;   2;   0;   4;   6;       1; 1; 5; 0; 0; 0; 0;
     50;          6;  18;          0;   0;   3;   0;   2;   1;   2;   0;   4;   6;       1; 1; 5; 0; 0; 0; 0;
     51;          8;  19;          0;   0;   3;   1;   2;   1;   2;   0;   4;   6;       1; 1; 7; 0; 0; 0; 0;
     52;          6;  19;          0;   0;   3;   0;   3;   0;   2;   1;   4;   6;       1; 1; 5; 0; 0; 0; 0;
     53;          8;  20;          0;   0;   3;   1;   3;   0;   2;   1;   4;   6;       1; 1; 7; 0; 0; 0; 0;
     54;          8;  21;          0;   0;   4;   0;   3;   1;   2;   1;   4;   6;       1; 1; 7; 0; 0; 0; 0;
     55;         10;  22;          0;   0;   4;   1;   3;   1;   2;   1;   4;   6;       1; 1; 9; 0; 0; 0; 0;
     56;          6;  20;          0;   0;   3;   0;   3;   0;   3;   0;   4;   7;       1; 1; 5; 0; 0; 0; 0;
     57;          8;  21;          0;   0;   3;   1;   3;   0;   3;   0;   4;   7;       1; 1; 7; 0; 0; 0; 0;
     58;          8;  22;          0;   0;   4;   0;   3;   1;   3;   0;   4;   7;       1; 1; 7; 0; 0; 0; 0;
     59;         10;  23;          0;   0;   4;   1;   3;   1;   3;   0;   4;   7;       1; 1; 9; 0; 0; 0; 0;
     60;          8;  23;          0;   0;   4;   0;   4;   0;   3;   1;   4;   7;       1; 1; 7; 0; 0; 0; 0;
     61;         10;  24;          0;   0;   4;   1;   4;   0;   3;   1;   4;   7;       1; 1; 9; 0; 0; 0; 0;
     62;         10;  25;          0;   0;   5;   0;   4;   1;   3;   1;   4;   7;       1; 1; 9; 0; 0; 0; 0;
     63;         12;  26;          0;   0;   5;   1;   4;   1;   3;   1;   4;   7;       1; 1;11; 0; 0; 0; 0;
     64;          2;  18;          0;   0;   1;   0;   1;   0;   1;   0;   7;   8;       1; 1; 1; 0; 0; 0; 0;
     65;          4;  19;          0;   0;   1;   1;   1;   0;   1;   0;   7;   8;       1; 1; 3; 0; 0; 0; 0;
     66;          4;  20;          0;   0;   2;   0;   1;   1;   1;   0;   7;   8;       1; 1; 3; 0; 0; 0; 0;
     67;          6;  21;          0;   0;   2;   1;   1;   1;   1;   0;   7;   8;       1; 1; 5; 0; 0; 0; 0;
     68;          4;  21;          0;   0;   2;   0;   2;   0;   1;   1;   7;   8;       1; 1; 3; 0; 0; 0; 0;
     69;          6;  22;          0;   0;   2;   1;   2;   0;   1;   1;   7;   8;       1; 1; 5; 0; 0; 0; 0;
     70;          6;  23;          0;   0;   3;   0;   2;   1;   1;   1;   7;   8;       1; 1; 5; 0; 0; 0; 0;
     71;          8;  24;          0;   0;   3;   1;   2;   1;   1;   1;   7;   8;       1; 1; 7; 0; 0; 0; 0;
     72;          4;  22;          0;   0;   2;   0;   2;   0;   2;   0;   7;   9;       1; 1; 3; 0; 0; 0; 0;
     73;          6;  23;          0;   0;   2;   1;   2;   0;   2;   0;   7;   9;       1; 1; 5; 0; 0; 0; 0;
     74;          6;  24;          0;   0;   3;   0;   2;   1;   2;   0;   7;   9;       1; 1; 5; 0; 0; 0; 0;
     75;          8;  25;          0;   0;   3;   1;   2;   1;   2;   0;   7;   9;       1; 1; 7; 0; 0; 0; 0;
     76;          6;  25;          0;   0;   3;   0;   3;   0;   2;   1;   7;   9;       1; 1; 5; 0; 0; 0; 0;
     77;          8;  26;          0;   0;   3;   1;   3;   0;   2;   1;   7;   9;       1; 1; 7; 0; 0; 0; 0;
     78;          8;  27;          0;   0;   4;   0;   3;   1;   2;   1;   7;   9;       1; 1; 7; 0; 0; 0; 0;
     79;         10;  28;          0;   0;   4;   1;   3;   1;   2;   1;   7;   9;       1; 1; 9; 0; 0; 0; 0;
     80;          4;  24;          0;   0;   2;   0;   2;   0;   2;   0;   8;  10;       1; 1; 3; 0; 0; 0; 0;
     81;          6;  25;          0;   0;   2;   1;   2;   0;   2;   0;   8;  10;       1; 1; 5; 0; 0; 0; 0;
     82;          6;  26;          0;   0;   3;   0;   2;   1;   2;   0;   8;  10;       1; 1; 5; 0; 0; 0; 0;
     83;          8;  27;          0;   0;   3;   1;   2;   1;   2;   0;   8;  10;       1; 1; 7; 0; 0; 0; 0;
     84;          6;  27;          0;   0;   3;   0;   3;   0;   2;   1;   8;  10;       1; 1; 5; 0; 0; 0; 0;
     85;          8;  28;          0;   0;   3;   1;   3;   0;   2;   1;   8;  10;       1; 1; 7; 0; 0; 0; 0;
     86;          8;  29;          0;   0;   4;   0;   3;   1;   2;   1;   8;  10;       1; 1; 7; 0; 0; 0; 0;
     87;         10;  30;          0;   0;   4;   1;   3;   1;   2;   1;   8;  10;       1; 1; 9; 0; 0; 0; 0;
     88;          6;  28;          0;   0;   3;   0;   3;   0;   3;   0;   8;  11;       1; 1; 5; 0; 0; 0; 0;
     89;          8;  29;          0;   0;   3;   1;   3;   0;   3;   0;   8;  11;       1; 1; 7; 0; 0; 0; 0;
     90;          8;  30;          0;   0;   4;   0;   3;   1;   3;   0;   8;  11;       1; 1; 7; 0; 0; 0; 0;
     91;         10;  31;          0;   0;   4;   1;   3;   1;   3;   0;   8;  11;       1; 1; 9; 0; 0; 0; 0;
     92;          8;  31;          0;   0;   4;   0;   4;   0;   3;   1;   8;  11;       1; 1; 7; 0; 0; 0; 0;
     93;         10;  32;          0;   0;   4;   1;   4;   0;   3;   1;   8;  11;       1; 1; 9; 0; 0; 0; 0;
     94;         10;  33;          0;   0;   5;   0;   4;   1;   3;   1;   8;  11;       1; 1; 9; 0; 0; 0; 0;
     95;         12;  34;          0;   0;   5;   1;   4;   1;   3;   1;   8;  11;       1; 1;11; 0; 0; 0; 0;
     96;          4;  28;          0;   0;   2;   0;   2;   0;   2;   0;  10;  12;       1; 1; 3; 0; 0; 0; 0;
     97;          6;  29;          0;   0;   2;   1;   2;   0;   2;   0;  10;  12;       1; 1; 5; 0; 0; 0; 0;
     98;          6;  30;          0;   0;   3;   0;   2;   1;   2;   0;  10;  12;       1; 1; 5; 0; 0; 0; 0;
     99;          8;  31;          0;   0;   3;   1;   2;   1;   2;   0;  10;  12;       1; 1; 7; 0; 0; 0; 0;
    100;          6;  31;          0;   0;   3;   0;   3;   0;   2;   1;  10;  12;       1; 1; 5; 0; 0; 0; 0;
    101;          8;  32;          0;   0;   3;   1;   3;   0;   2;   1;  10;  12;       1; 1; 7; 0; 0; 0; 0;
    102;          8;  33;          0;   0;   4;   0;   3;   1;   2;   1;  10;  12;       1; 1; 7; 0; 0; 0; 0;
    103;         10;  34;          0;   0;   4;   1;   3;   1;   2;   1;  10;  12;       1; 1; 9; 0; 0; 0; 0;
    104;          6;  32;          0;   0;   3;   0;   3;   0;   3;   0;  10;  13;       1; 1; 5; 0; 0; 0; 0;
    105;          8;  33;          0;   0;   3;   1;   3;   0;   3;   0;  10;  13;       1; 1; 7; 0; 0; 0; 0;
    106;          8;  34;          0;   0;   4;   0;   3;   1;   3;   0;  10;  13;       1; 1; 7; 0; 0; 0; 0;
    107;         10;  35;          0;   0;   4;   1;   3;   1;   3;   0;  10;  13;       1; 1; 9; 0; 0; 0; 0;
    108;          8;  35;          0;   0;   4;   0;   4;   0;   3;   1;  10;  13;       1; 1; 7; 0; 0; 0; 0;
    109;         10;  36;          0;   0;   4;   1;   4;   0;   3;   1;  10;  13;       1; 1; 9; 0; 0; 0; 0;
    110;         10;  37;          0;   0;   5;   0;   4;   1;   3;   1;  10;  13;       1; 1; 9; 0; 0; 0; 0;
    111;         12;  38;          0;   0;   5;   1;   4;   1;   3;   1;  10;  13;       1; 1;11; 0; 0; 0; 0;
    112;          6;  34;          0;   0;   3;   0;   3;   0;   3;   0;  11;  14;       1; 1; 5; 0; 0; 0; 0;
    113;          8;  35;          0;   0;   3;   1;   3;   0;   3;   0;  11;  14;       1; 1; 7; 0; 0; 0; 0;
    114;          8;  36;          0;   0;   4;   0;   3;   1;   3;   0;  11;  14;       1; 1; 7; 0; 0; 0; 0;
